customer_id,customer_name,email,city,country,signup_date
1,Allison Hill,user1@example.com,East Jill,Philippines,2025-09-27
2,Leslie Johnson,user2@example.com,East Jessetown,Monaco,2025-03-14
3,Kimberly Robinson,user3@example.com,Lisatown,Senegal,2025-10-21
4,Gina Moore,user4@example.com,Curtisfurt,Bhutan,2025-05-11
5,Dennis Williams,user5@example.com,Herrerafurt,Belgium,2025-07-20
6,Lisa Hensley,user6@example.com,Lake Chad,Panama,2025-03-24
7,Bobby Hall,user7@example.com,South Joshuastad,Central African Republic,2025-05-15
8,Derek Zuniga,user8@example.com,New Cynthiaside,Saint Lucia,2025-03-31
9,Devin Schaefer,user9@example.com,Lake Mark,Seychelles,2025-10-10
10,Andrew Stewart,user10@example.com,Carlshire,Turkey,2025-09-19
11,Jonathan Wilkerson,user11@example.com,Thomasberg,Egypt,2025-09-29
12,Nicole Patterson,user12@example.com,Coxberg,Malawi,2025-06-29
13,Shannon Hernandez,user13@example.com,Port Erin,Nepal,2025-01-24
14,Zachary Rice,user14@example.com,Lake Jenniferside,Sao Tome and Principe,2025-04-08
15,Ashley Graham,user15@example.com,Smithview,Macao,2025-10-05
16,Ashley Garrett,user16@example.com,East Nathaniel,Central African Republic,2025-07-16
17,Kerry Smith,user17@example.com,Tracyville,Vanuatu,2025-05-13
18,Dr. Cynthia Allen,user18@example.com,North Jessicaland,Senegal,2025-07-13
19,Matthew Arroyo,user19@example.com,West Allison,New Caledonia,2025-06-04
20,Joshua Blair,user20@example.com,Lake Larry,Paraguay,2025-08-25
21,Joseph Martinez,user21@example.com,North Matthew,Namibia,2025-07-21
22,Adrienne Zimmerman,user22@example.com,East Carloston,Tokelau,2025-05-01
23,Diana Washington,user23@example.com,Lake Selena,Montserrat,2025-07-29
24,John Russell,user24@example.com,North Donnastad,Jamaica,2025-05-30
25,Amy Valdez,user25@example.com,North Richardmouth,South Georgia and the South Sandwich Islands,2025-11-10
26,Connor West,user26@example.com,Whitemouth,Egypt,2025-11-15
27,Robert Chase,user27@example.com,North Deniseside,Taiwan,2025-01-06
28,Paul Young,user28@example.com,Tuckerborough,Tonga,2025-05-26
29,James Galloway,user29@example.com,Saramouth,France,2025-06-03
30,Whitney Peters,user30@example.com,Mooreport,Cuba,2025-12-19
31,Kimberly Adkins,user31@example.com,North Breannahaven,Uruguay,2025-11-07
32,Tyler Miller,user32@example.com,North Brooke,Peru,2025-11-10
33,Todd Hudson,user33@example.com,New Christophershire,Mongolia,2025-07-10
34,Christina Moran,user34@example.com,West Randy,Paraguay,2025-08-23
35,Timothy Walls,user35@example.com,South Christineshire,Bolivia,2025-01-27
36,Derek Mahoney,user36@example.com,East Mikeburgh,Kazakhstan,2025-10-31
37,Lisa Archer,user37@example.com,Lake Lisaport,Venezuela,2025-08-30
38,Brandy Wilson,user38@example.com,Lake Angelaview,Finland,2025-08-09
39,Christina Walters,user39@example.com,Williamview,United Kingdom,2025-11-27
40,Mark Calderon,user40@example.com,North Matthewberg,Northern Mariana Islands,2025-12-23
41,Jeremy Thornton,user41@example.com,North Charlesberg,Mayotte,2025-01-14
42,Juan Jordan,user42@example.com,West Michaelton,United Arab Emirates,2025-05-11
43,Mary Gomez,user43@example.com,Dicksonberg,Uzbekistan,2025-12-05
44,Vanessa Cochran,user44@example.com,Johnsonmouth,Slovenia,2025-12-05
45,Sharon Cochran,user45@example.com,Erikville,Hong Kong,2025-11-14
46,Courtney Velasquez,user46@example.com,Baileybury,Czech Republic,2025-01-09
47,Garrett Lin,user47@example.com,Michaelhaven,Iran,2025-09-05
48,Erin Johnson,user48@example.com,Gregoryview,Argentina,2025-02-09
49,Nicholas Edwards,user49@example.com,South Rachelborough,Equatorial Guinea,2025-01-17
50,Joseph Drake,user50@example.com,West Ryan,Yemen,2025-08-30
51,Erik Charles,user51@example.com,Williamchester,Greece,2025-05-27
52,Cameron Fisher,user52@example.com,Byrdburgh,Nicaragua,2025-07-27
53,Roy Torres,user53@example.com,South Kristi,New Caledonia,2025-08-27
54,Jeremy Lewis,user54@example.com,Leonburgh,Palestinian Territory,2025-01-31
55,Mackenzie Rogers,user55@example.com,Lake Lance,Sri Lanka,2025-03-14
56,David Alvarez,user56@example.com,South Robertshire,Congo,2025-09-19
57,James Hernandez,user57@example.com,Port Michelleville,Slovakia (Slovak Republic),2025-06-04
58,Tyler Holmes,user58@example.com,New Johnville,Korea,2025-02-18
59,Joseph Hansen,user59@example.com,Stephaniemouth,New Zealand,2025-10-24
60,Jessica Meadows,user60@example.com,Merrittfort,Korea,2025-04-05
61,Mark Cannon,user61@example.com,Simsview,Kazakhstan,2025-01-29
62,Devon Flores,user62@example.com,East Edwardfurt,Puerto Rico,2025-02-25
63,Jason Rivera,user63@example.com,Perryborough,Syrian Arab Republic,2025-06-02
64,Lauren Dominguez,user64@example.com,Woodsstad,French Southern Territories,2025-10-02
65,Tiffany Barnes,user65@example.com,South Jeffrey,Jordan,2025-06-26
66,Michael Yates,user66@example.com,Port Tanner,Brunei Darussalam,2025-12-23
67,Susan Vargas,user67@example.com,North Dawnberg,Tonga,2025-06-18
68,James Lewis,user68@example.com,Matthewfurt,Fiji,2025-10-01
69,Darlene Miller,user69@example.com,Lake Amberstad,Czech Republic,2025-08-25
70,Marissa Webster,user70@example.com,East Mary,Nigeria,2025-02-25
71,Michael Elliott,user71@example.com,South Holly,Seychelles,2025-05-15
72,Tracey Higgins,user72@example.com,West Daniel,Anguilla,2025-12-05
73,Susan Brooks,user73@example.com,North Brittany,Switzerland,2025-08-17
